gene	Adult_Hind_Gut	Adult_Mid_Gut	Adult_Accessory_gland	Adult_Brain	Adult_Crop	Larval_Wandering_fat_body	Adult_Head	Larvae_Wandering_Tubules	Adult_Ovary	Adult_Testes	Adult_Salivary_Gland	Adult_Carcass	Adult_Thoracoabdominal_ganglion	Larval_Feeding_Hind_Gut	Larval_Feeding_Mid_Gut	Larval_Feeding_Salivary_Gland	Adult_Female_Spermatheca_Mated	Adult_Female_Spermatheca_Virgin	Larval_Feeding_Malpighian_Tubule	Larval_Feeding_Fatbody	Larval_Feeding_Carcass	Larval_Feeding_Central_Nevous_System	Larval_Feeding_Trachea	Adult_Fatbody	Adult_Eye	Adult_Heart	Adult_Male_Ejaculatory_Duct	Adult_Trachea	Adult_Thoracic_Muscle	Adult_Wings
FBgn0038818	0.0001	0.0001	0.0001	10.11319441	0.0001	0.0001	8.942467302	0.0001	0.0001	8.508514183	0.0001	4.344145675	10.77791783	0.0001	0.0001	0.0001	0.0001	5.136897601	0.0001	0.0001	0.0001	7.720098802	0.0001	4.321289847	10.00955043	4.69848179	0.0001	6.047907886	0.0001	4.717891856
FBgn0038819	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	11.90694528	0.0001	3.586006791	0.0001	0.0001	0.0001	0.0001	0.0001
FBgn0038820	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	11.4429253	0.0001	0.0001	0.0001	0.0001	12.2824039	3.478548571	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	11.48604907	5.588482035	11.19227163	10.03389637	0.0001	9.541866739	0.0001	14.13623269
FBgn0038821	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	3.808855905	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
FBgn0038826	7.750699877	7.371399685	8.744711041	9.763745198	8.418757656	10.73896463	6.570177689	10.41315504	3.346879389	13.35429668	7.559500378	8.035884047	10.03741013	6.428883713	5.738341183	8.297000613	6.357125538	6.261348778	8.266445191	8.749635933	7.881113538	10.39863346	8.11626057	7.455297677	7.987321425	7.422486937	6.767806427	7.853270282	7.514938028	7.551050417
FBgn0038827	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	4.959559538	2.10085426	0.0001	0.0001	2.461317601	2.236603431	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	3.272980392	2.988336965	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
FBgn0038828	5.603038919	7.280550852	4.868710237	10.02150212	6.80370527	9.65005825	7.763468405	6.67086396	10.28875772	2.561391421	0.0001	5.698362883	10.29031684	5.977478404	8.351424595	5.181324945	6.833120405	6.262981846	6.928438352	9.285298256	4.740782832	8.903989625	6.18014846	7.187838948	8.337859894	7.556242393	3.208113939	7.494928848	6.547772163	6.091212269
FBgn0038829	9.104443696	7.082364836	12.00073745	8.293058476	8.620943553	11.46608206	9.764164438	9.13615614	9.558165546	9.599726865	12.45751976	9.938128686	8.480259627	10.38661817	7.69635022	12.82219571	11.1887621	11.12701949	8.563484043	12.15283112	9.806355219	9.59310058	10.70203543	11.24501644	10.04265482	10.46405674	11.63928212	10.60142678	10.1212479	9.215699263
FBgn0038830	9.253605566	11.20950987	11.16848791	9.252903547	8.103622111	9.76213427	8.824394335	10.38443876	9.313909779	6.550656787	8.908020293	8.471878784	9.386839971	9.656995055	10.78726149	9.061356649	9.438988977	9.180629612	10.60950077	9.458936671	8.634323032	9.743053809	9.752944154	9.041054766	9.147780494	9.071084978	10.19610119	8.492344878	7.654105228	9.343118272
FBgn0038832	4.799230403	7.163239703	5.160630235	2.950293739	0.0001	0.0001	6.485447298	0.0001	0.0001	8.944320941	5.155904718	6.095345798	0.0001	0.0001	5.564749401	0.0001	9.703779868	9.219318005	0.0001	0.0001	4.369908075	0.0001	0.0001	3.95520618	0.0001	8.658538038	11.47676818	7.82345266	0.0001	7.793504895
